Parcel ID (TMK),Petition Number,Site Address
410080590000,A20040644B,41-1800  KALANIANAOLE HWY
410080760000,A10040992,41-131  KULAIWI ST
410080790000,A20040171,KULAIWI ST
410092660000,A10040961,41-245  HIHIMANU ST
410092690000,A10040991,HIHIMANU ST
410100030000,A10050216,41-909  MAHAILUA ST
410100040000,A20040099,41-879  MAHAILUA ST
410100050000,A10070053,41-855  MAHAILUA ST
410100060000,A10050390,41-825  MAHAILUA ST
410100070000,A10041007,41-865  MAHAILUA ST
410100080000,A10080080,41-928  KAKAINA ST
410100130000,A10090005,41-936  KAKAINA ST
410100290000,A10070396,41-1020  KAKAINA ST
410100300000,A10040863,41-1023  KAKAINA ST
410100310000,A05090199,41-1019  KAKAINA ST
410100340000,A10040925,41-951  KAKAINA PL
410100370000,A10040818,41-954  KAKAINA PL
410100380000,A10040284,41-984  KAKAINA PL
410100390000,A10040285,41-1009  KAKAINA ST
410100400000,A10130115,41-977  KAKAINA ST
410100410000,A10070063,41-955  KAKAINA ST
410100420000,A10050380,41-937  KAKAINA ST
410100430000,A10070057,41-921  KAKAINA ST
410100440000,A10100037,41-910  WAIKUPANAHA ST
410100590000,A20040286,WAIKUPANAHA ST
410100600000,A10040463,41-978 L WAIKUPANAHA ST
410100630000,A20040061,41-1100  WAIKUPANAHA ST
410100640000,A10070355,41-1143  WAIKUPANAHA ST
410100670000,A10060048,41-1160  WAIKUPANAHA ST
410100700000,A10070127,41-1020  WAIKUPANAHA ST
410100800000,A10070066,WAIKUPANAHA ST
410100810000,A10040228,WAIKUPANAHA ST
410130030000,A10090004,KALANIANAOLE HWY
410130170000,A10040979,KALANIANAOLE HWY
410130320000,A10060275,KALANIANAOLE HWY
410180130000,A10070048,41-571  FLAMINGO ST
410180140000,A10070156,41-565  FLAMINGO ST
410180150000,A10080015,41-551  FLAMINGO ST
410180160000,A10040010,41-545  FLAMINGO ST
410180220000,A10100043,41-655  KUMUHAU ST
410180290000,A10070115,41-659 H KUMUHAU ST
410180340000,A10050354,41-659 G KUMUHAU ST
410180360000,A10040452,41-659 F KUMUHAU ST
410180400000,A10070025,41-641  KUMUHAU ST
410180470000,A10070024,KUMUHAU ST
410180520000,A10040173,41-1660  KALANIANAOLE HWY
410240110000,A05110152,41-849  WAIKUPANAHA ST
410240120000,A10070281,41-860  KAKAINA ST
410240130000,A10070282,41-860  KAKAINA ST
410240130000,A10070283,41-860  KAKAINA ST
410240140000,A10070284,41-860  KAKAINA ST
410240140000,A10070285,41-860  KAKAINA ST
410240150000,A05090056,41-812  KAKAINA ST
410240160000,A05090260,KAKAINA ST
410240180000,A10040283,41-821  WAIKUPANAHA ST
410240200000,A10100192,41-756  MAHAILUA ST
410240210000,A10070100,41-710  MAHAILUA ST
410240220000,A10040458,41-732  KAKAINA ST
410240230000,A10070312,41-668  KAKAINA ST
410240240000,A10070341,41-656  KAKAINA ST
410240250000,A10070380,41-639  KAULUKANU ST
410240280000,A20040236,41-712  MOOIKI ST
410240290000,A10070039,41-723  KAULUKANU ST
410240300000,A10040289,41-730  MOOIKI ST
410240310000,A10070314,41-717  WAIKUPANAHA ST
410240320000,A20040030,41-760  KAULUKANU ST
410240330000,A10040816,41-666  KAULUKANU ST
410240340000,A10080044,41-650  KAULUKANU ST
410240350000,A10040958,41-520  HIHIMANU ST
410240360000,A10040267,41-635  MOKULAMA ST
410240370000,A10041012,41-679  MOKULAMA ST
410240380000,A10041013,MOKULAMA ST
410240390000,A05110082,41-709  MOKULAMA ST
410240400000,A05110083,MOKULAMA ST
410240410000,A10070351,41-715  MOKULAMA ST
410240420000,A10050381A,41-659  WAIKUPANAHA ST
410240430000,A10040442D,41-765  MOKULAMA ST
410240440000,A05090067,41-774  MOKULAMA ST
410240450000,A10040082,41-555  WAIKUPANAHA ST
410240460000,A01130248,41-540  MAKAKALO ST
410240470000,A10070208,41-741  AHIKI ST
410240480000,A10110197,41-502  MAKAKALO ST
410240500000,A10130004,41-539  MAKAKALO ST
410240510000,A10130005,41-569  MAKAKALO ST
410240520000,A10130006,MAKAKALO ST
410240530000,A10130007,41-587  MAKAKALO ST
410240540000,A05120072,41-670  MOKULAMA ST
410240550000,A10070350,41-630  MOKULAMA ST
410240570000,A05110196,41-486  HIHIMANU ST
410240590000,A05120073,41-464  HIHIMANU ST
410240600000,A10070179,41-450  HIHIMANU ST
410240610000,A10040874,41-450  HIHIMANU ST
410240620000,A10070055,41-436  HIHIMANU ST
410240630000,A10070056,AHIKI ST
410240640000,A10040443,41-629  AHIKI ST
410240650000,A10040086,41-426  HIHIMANU ST
410240760000,A10040084,KAKAINA ST
410240790000,A20040090,41-708  KAKAINA ST
410240810000,A10040939,41-770  MAHAILUA ST
410240820000,A10040976A,41-745  MOOIKI ST
410240840000,A20040029,41-730  KAULUKANU ST
410240850000,A10130158,41-759  KAULUKANU ST
410240860000,A10040457,41-755  KAULUKANU ST
410240870000,A20040043,41-745  KAULUKANU ST
410240880000,A10060147,41-474  HIHIMANU ST
410240900000,A10040063,41-558  MAKAKALO ST
410240910000,A10040442C,MOKULAMA ST
410240920000,A10040442B,41-765 C MOKULAMA ST
410240930000,A10040442A,41-765  MOKULAMA ST
410240940000,A10040288,WAIKUPANAHA ST
410240950000,A10070315,41-715  MOOIKI ST
410240960000,A10040162,41-739  MOOIKI ST
410240980000,A05090068,41-774  MOKULAMA ST
410240990000,A10040269,41-620  KAULUKANU ST
410241000000,A10040268,41-630  KAULUKANU ST
410241010000,A10050381B,41-659  WAIKUPANAHA ST
410241020000,A10050381C,41-647  WAIKUPANAHA ST
410241040000,A20040050,41-625  KAULUKANU ST
410241050000,A10070331,41-720  MOOIKI ST
410241060000,A10040290,41-574  MAKAKALO ST
410241070000,A10040229,MOKULAMA ST
410241080000,A10040270,KAULUKANU ST
410241120000,A01130092,41-695  KAULUKANU ST
410241130000,A05130093,41-665  KAULUKANU ST
410250040001,A20040781,41-875  KAKAINA ST
410250060000,A05110084,41-849  KAKAINA ST
410250070000,A05110085,41-849  KAKAINA ST
410250080000,A10040975,41-829  KAKAINA ST
410250090000,A10040978,KAKAINA ST
410250100000,A10060132,41-809  KAKAINA ST
410250110000,A10040567,41-647  MAHAILUA ST
410250120000,A10080037,41-757  KAKAINA ST
410250130000,A10080036,41-747  KAKAINA ST
410250140000,A10060057,41-719  KAKAINA ST
410250150000,A10070085,41-640  MAHAILUA ST
410250160000,A10070086,MAHAILUA ST
410250170000,A10070087,MAHAILUA ST
410250180000,A10070088,41-640 A MAHAILUA ST
410250190000,A01130139,41-562  KUMUHAU ST
410250210000,A10070104,41-604  MAHAILUA ST
410250220000,A05120157,41-639  MAHAILUA ST
410250230000,A05120158,41-638  KUMUHAU ST
410250240000,A10040773A,41-670  KUMUHAU ST
410250250000,A10040773B,KUMUHAU ST
410250260000,A10040773C,41-670  KUMUHAU ST
410250270000,A10070378,41-720  KUMUHAU ST
410250280000,A10040232,KUMUHAU ST
410250290000,A10040233,KUMUHAU ST
410250300000,A10040516,41-732  KUMUHAU ST
410250310000,A10040822A,KUMUHAU ST
410250320000,A10040822B,41-744  KUMUHAU ST
410250330000,A10050350,41-937  WAIKUPANAHA ST
410250340000,A10070349,41-949  WAIKUPANAHA ST
410250340000,A10070392,41-949  WAIKUPANAHA ST
410250350000,A10130049,41-951  WAIKUPANAHA ST
410250350000,A293000175,41-951  WAIKUPANAHA ST
410250550000,A10040292,41-739  KUMUHAU ST
410250570000,A10040996,KUMUHAU ST
410250580000,A10060071,41-709  KAKAINA ST
410250590000,A10050295,41-717 KAKAINA ST
410250600000,A10050379,41-711  KAKAINA ST
410260050000,A10090197,WAIKUPANAHA ST
410260060000,A10090196,41-139  WAIKUPANAHA ST
410260090000,A10060021,41-610  NONOKIO ST
410260100000,A10070343,41-310  HIHIMANU ST
410260150000,A10040995,41-430  WAIKUPANAHA ST
410260170000,A10040912,41-500  WAIKUPANAHA ST
410260180000,A10100180,41-512  WAIKUPANAHA ST
410260190000,A10040075,41-530  WAIKUPANAHA ST
410260240000,A05130019,41-202  HIHIMANU ST
410260250000,A20040014A,41-208  HIHIMANU ST
410260260000,A10080019,41-260  HIHIMANU ST
410260270000,A05090288,41-250  HIHIMANU ST
410260280000,A05090287,41-626  NONOKIO ST
410260280000,A05090287,41-626  NONOKIO ST
410260300000,A10120142,41-246  HIHIMANU ST
410260310000,A01130134,41-246 B HIHIMANU ST
410260320000,A01130135,41-246 B HIHIMANU ST
410270010000,A10050384,41-568  WAIKUPANAHA PL
410270040000,A05090057,41-565  WAIKUPANAHA PL
410270050000,A10070107,41-570  WAIKUPANAHA PL
410270060000,A10080027,41-608  WAIKUPANAHA ST
410270070000,A10080033,41-614  WAIKUPANAHA ST
410270080000,A10080034,41-628  WAIKUPANAHA ST
410270100000,A10040977,41-672  WAIKUPANAHA ST
410270110000,A10040821,41-858  KAULUKANU ST
410270120000,A10130114,41-878  KAULUKANU ST
410270180000,A10040819,41-711  KAULUKANU ST
410270190000,A10040265,41-741  KAULUKANU PL
410270230000,A10050383A,MAHAILUA ST
410270240000,A10050383B,41-820  MAHAILUA ST
410270250000,A05120207,41-740  KAULUKANU PL
410270260000,A10060006,41-720  KAULUKANU PL
410270270000,A20040131,41-831  KAULUKANU ST
410270280000,A10080018,41-740  WAIKUPANAHA ST
410270290000,A10040264,41-758  WAIKUPANAHA ST
410270300000,A20040047,41-772  WAIKUPANAHA ST
410350010000,A10050382,41-1009  MAHIKU PL
410350020000,A10040046,41-999  MAHIKU PL
410350030000,A20040470,41-969  MAHIKU PL
410350040000,A10040238,41-949  MAHIKU PL
410350050000,A10040100,41-929  MAHIKU PL
410350060000,A10040954,41-909  MAHIKU PL
410350070000,A10050284,41-889  MAHIKU PL
410350080000,A20040766,41-869  MAHIKU PL
410350090000,A10040149,41-849  MAHIKU PL
410350100000,A10060051,41-830  MAHIKU PL
410350110000,A10040565,41-890  MAHIKU PL
410350120000,A10040161,41-910  MAHIKU PL
410350130000,A10050053,41-950  MAHIKU PL
410350140000,A10110249,41-970  MAHIKU PL
420070020000,A05100223,1066 MAUNAWILI RD
420070390000,A10090332,MAUNAWILI LP
420070400000,A10070152,MAUNAWILI LOOP
420070420000,A05090058,1120 MAUNAWILI RD
420120130001,A10090042,1009 MAUNAWILI RD
420120130002,A10090043,1011 MAUNAWILI RD
420140030000,A10080002,1003 AULOA RD
420980010000,A05120098,42-99  OLD KALANIANAOLE RD
420980090000,A05110178,42-129  OLD KALANIANAOLE RD
420980200000,A10120154,42-101  KOOKU PL
420980480000,A10120183,WAIMANALO RD
420980490000,A10120182,42-51  OLD KALANIANAOLE RD
450210490000,A01130267,45-1053 G ANOI RD
460160130000,AV10100014,AHUI NANI PL
470050010000,A10040235,47-263  AHAOLELO RD
470050020000,A10040156A,AHAOLELO RD
470050030000,A10040101,47-510  MAPELE RD
470050070000,A10040160,47-629  MAPELE RD
470050150000,A10050349,47-619  MAPELE PL
470050160000,A10040096,47-538  AHILAMA RD
470050450000,A10040165,47-604  UAPOAIHALA PL
470050650000,A10040298,47-615  UAPOAIHALA PL
470050660000,A10040156B,47-565  MAPELE RD
470050670000,A10040299,47-614  UAPOAIHALA PL
470050680000,A10040300,47-624  UAPOAIHALA PL
470050690000,A10040301,47-634  UAPOAIHALA PL
470050700000,A10040078,47-591  MAPELE RD
470050710000,A10090022,47-277  AHAOLELO RD
470050720000,A10080011,47-289  AHAOLELO RD
470050730000,A10040302,47-618  MAPELE RD
470050740000,A10040297,47-602  MAPELE RD
470050750000,A10040068,47-590  MAPELE RD
470050760000,A10040892,47-119  MAPELE WAY
470050790000,A10040856,47-171  MAPELE WAY
470050820000,A10040143,47-158  MAPELE WAY
470050830000,A05110224,47-144  MAPELE WAY
470050880000,A10090044,47-420  MAPELE RD
470050890002,A10040303A,47-611  MAPELE RD
470050920000,A10040304C,47-611  MAPELE PL
470050930000,A10040304B,MAPELE PL
470050940000,A05090143,47-251  AHAOLELO RD
470050950000,A10040160A,47-619  MAPELE RD
470050960000,A10040160B,47-618  MAPELE RD
470050970000,A10040160C,47-618  MAPELE RD
470050990000,A10070352,47-136  MAPELE WAY
470051000000,A01130116,47-122  MAPELE WAY
470060020000,A10110056,47-544  AHILAMA RD
470060030000,A10110057,AHILAMA RD
470060080000,A10040002,47-478  WAIHEE PL
470070160000,A10040444,47-874  AHILAMA RD
470070360000,A10130245,47-285  PULAMA RD
470120200000,A10070041,47-531  AHILAMA RD
470130210000,A10040877,47-653  AHILAMA RD
470130300000,A05090285,47-635  AHILAMA RD
470140060000,A10060024,KAM HWY
470140260000,A10060034,47-710  KAM HWY
470150060000,A10060032,LAMAULA ST
470150090000,A10070040,47-669  LAMAULA RD
470150100000,A10060033,LAMAULA RD
470150130000,A10040181,47-320  PULAMA RD
470150140000,A10110076,47-401  PULAMA RD
470160070000,A10070015,KAM HWY
470250200000,A10040999,47-357 E2 AHUIMANU RD
470250220000,A10041000,47-357 E1 AHUIMANU RD
470250410000,A10050294,47-357 G AHUIMANU RD
470260020000,A05100003,KAM HWY
470260050000,A05100004,KAM HWY
470260240000,A10110058,47-519  AHILAMA RD
470270060000,A10110059,47-173  AHAOLELO RD
470270180000,A10090282,47-239  AHAOLELO RD
470280020000,A10130023,47-140  AHAOLELO RD
470280050000,A10041001,47-357 E AHUIMANU RD
470280290000,A10090380,47-204 I AHAOLELO RD
470280330000,A10040820,47-206 A AHAOLELO RD
470280360000,A10060056,47-212  AHAOLELO RD
470290010000,A05120093,47-282  AHAOLELO RD
470290180000,A10090417,AHAOLELO RD
470290330000,A05120094,47-280  AHAOLELO RD
470320020000,A05090330,47-524  AHUIMANU RD
470320030000,A10110002,47-532  AHUIMANU RD
470330010000,A10070267,47-600  AHILAMA RD
470330060000,A10070353,47-411  WAIHEE PL
470330140000,A05090252,47-334  MAPUMAPU RD
470330150000,A10090003,47-324  MAPUMAPU RD
470330160000,A10070375,47-310  MAPUMAPU RD
470330160000,A10070376,47-310  MAPUMAPU RD
470330170000,A10070129,47-308  MAHAKEA RD
470330220000,A10070340,47-401  MAPUMAPU RD
470330230000,A10070330,47-411  MAPUMAPU RD
470330320001,A10070052,47-434  WAIHEE PL
470330320002,A10070167,47-434 A WAIHEE PL
470330350000,A20030601,47-394  MAPUMAPU RD
470330360000,A01130246,47-403  MAPUMAPU RD
470330370000,A05090089,47-604  AHILAMA RD
470330370000,A05090089,47-604  AHILAMA RD
470390020000,A10090047,47- 002 OKANA RD
470390270000,A10130009,47-40  OKANA PL
470420010000,A10080083,47-533  PULAMA RD
470420020000,A10040015,47-801  KAMAKOI PL
470420030000,A10070034,47-802  KAMAKOI PL
470420080000,A10080031,47-807  KAMAKOI PL
470420090000,A10070062,47-803  KAMAKOI PL
470420120000,A10070051,47-208  KAMAKOI RD
470420170000,A10070027,47-227  KAMAKOI RD
470420230000,A10040568,47-265  KAMAKOI RD
470420250000,A10040859,47-875  AHILAMA RD
470430060000,A10070199,47-766  LAMAULA RD
470430250000,A10040305,47-705  LAMAULA PL
470430270000,A05130002,47-725  LAMAULA PL
470430430000,A10080040,47-719  AHILAMA RD
470430480000,A10040306,47-735  AHILAMA PL
470430500000,A05110077,47-728  AHILAMA PL
470430540000,A10040911,47-761  AHILAMA RD
470430720000,A10070092,47-460  PULAMA RD
470470050000,A10040081,47-358  MAHAKEA RD
470470100000,A10080043,47-410  MAHAKEA RD
470470150000,A10070020,47-433  MAHAKEA RD
470470190000,A10070018,47-411  MAHAKEA RD
470470200000,A10070209,47-405  MAHAKEA RD
470470260000,A10070348,47-345  MAHAKEA RD
470470330000,A10090028,47-814  AHILAMA RD
470490060000,A10040307,47-696  MAPELE RD
470490070000,A10040157,47-706  MAPELE RD
470570040000,A10070011,47-490  AHUIMANU RD
470590100000,A10100036,47-630  UAKEA PL
470630020000,A10090218,47-328  WAIHEE RD
470640010000,A10080067,47-422  WAIHEE RD
470640010000,AV0800002,47-422  WAIHEE RD
480010010000,A10050361,48-12  KAM HWY
480010190000,A10090283,48-130  WAIAHOLE HMSTD RD
480010200000,A10060038,48-86  KAMEHAMEHA HWY
480050020000,A10100006,48-472  KAMEHAMEHA HWY
480050080000,A10040471,48-464  KAM ST
480050100000,A10040259,48-449  HAUPOA ST
480050110000,A10110038,48-448  HAUPOA ST
480050150000,A10040103,48-475  HAUPOA ST
480050160000,A10070386,48-466  HAUPOA ST
480070100000,A20040872,48-240  WAIAHOLE HMSTD RD
480070140000,A10040966,48-146  WAIAHOLE HMSTD RD
480080010000,A10050003,48-159  WAIAHOLE HMSTD RD
480080080000,A10050004,KAM HWY
480080100000,A10050127,WAIAHOLE VALLEY RD
480080230000,A10090025,WAIAHOLE VALLEY RD
480080270000,A10050399,48-90 A WAIAHOLE HMSTD RD
480080310000,A10050002,WAIAHOLE HMSTD RD
480080320000,A10050375,WAIAHOLE HMSTD RD
480090010000,A10040860,48-166  KAM HWY
480090060000,A10060007,48-190  KAM HWY
480090290000,A10050270,48-218  KAM HWY
480090330000,A10050049,48-198  KAM HWY
480100030000,A10050038,48-294  KAM HWY
480100040000,A05110122,48-241  WAIAHOLE VALLEY RD
480100070000,A10050376,48-254  KAMEHAMEHA HWY
480110010000,A10060028,WAIAHOLE VALLEY RD
480110020000,A10040971,48-292  WAIAHOLE VLY S BR RD
480110020000,A10040971,48-292  WAIAHOLE VLY S BR RD
480110420000,A10040870,48-200  WAIAHOLE VALLEY RD
480110420000,A10040870,48-200  WAIAHOLE VALLEY RD
480110480000,A20040963,48-264  WAIAHOLE VLY RD
480110480000,A20040963,48-264  WAIAHOLE VLY RD
480120100000,A10040865,48-251  WAIAHOLE VALLEY RD
480120210000,A20040869,48-449  WAIAHOLE VLY S BR RD
480120220000,A10050377,48-440  WAIAHOLE VLY N BR RD
480120230000,A10050348,48-323  WAIAHOLE VLY N BR RD
480120320000,A10050055,48-435  WAIAHOLE VALLEY RD
480120340000,A10070095,WAIAHOLE VALLEY RD
480120350000,A10040867,WAIAHOLE VALLEY RD
480120360000,A10050125,48-370  WAIAHOLE VALLEY RD
480120380000,A10050353,WAIAHOLE VALLEY S BRANCH RD
480120400000,A10050389A,WAIAHOLE VALLEY S BRANCH RD
480120410000,A20040878,48-367  WAIAHOLE VALLEY RD
480120430000,A10050400,48-375  WAIAHOLE VALLEY S BRANCH RD
480120450000,A10060009,48-400  WAIAHOLE VALLEY RD
480120490000,A10050389B,WAIAHOLE VALLEY RD
490010010000,A20040525,49-150  KAM HWY
490010110000,A20040527,49-145  KAM HWY
490010140000,A20040584,49-139  KAM HWY
490010180000,A10040598,49-65  KAM HWY
490020010000,A20040529,49-176  KAM HWY
490020020000,A20040530,KAM HWY
490020030000,A20040531,KAM HWY
490020050000,A20040532,KAM HWY
490030010000,A20040533,49-275  KAM HWY
490030140000,A20040536,KAM HWY
490030150000,A20040537,49-243  KAM HWY
490030160000,A20040538,KAM HWY
490030270000,A10040540,KAM HWY
490030300000,A10040861,49-76  JOHNSON RD
490040020000,A20040542,49-560  KAM HWY
490040090000,A20040543,KAM HWY
490050010000,A20040544,49-586  KAM HWY
510010010000,A20040545,51-114  KAM HWY
510010020000,A10040546,51-180 D KAM HWY
510010050000,A10040547,KAM HWY
510010150000,A20040549,51-24  KAM HWY
510010160000,A20040550,51-22  KAM HWY
510010230000,A20040551,KAM HWY
510010240000,A20040552,KAM HWY
510010250000,A20040553,KAM HWY
510040010000,A20040554,KAM HWY
510070020000,A10040555,KAM HWY
510070030000,A10040556,KAM HWY
510090010000,A10050367,51-188 G KAM HWY
530010410000,A10100224,53-106  KAM HWY
530030010000,A10100226,53-270  KAM HWY
530030090000,AV10100006,KAM HWY
530040020000,AV0500002,53-352  KAM HWY
530040050000,AV10100001,KAM HWY
530040060000,AV10100004,KAM HWY
530040070000,A295000533,KAM HWY
530040130000,AV10100002,KAM HWY
530040180000,A10110147,53-370 A KAM HWY
530040180000,AV10100008,53-370 A KAM HWY
530040190000,A10110146,KAM HWY
530040190000,AV10100003,KAM HWY
530040380000,A10040088,53-354  KAM HWY
530050070000,A01130236,KAM HWY
530050070000,A01130237,KAM HWY
530050070000,A01130238,KAM HWY
530050070000,A01130239,KAM HWY
530050070000,A01130240,KAM HWY
530050070000,A01130241,KAM HWY
530050100000,A10070033,53-416 A KAM HWY
530050110000,A10040460,53-416 G KAM HWY
530050120000,A01130242,KAM HWY
530050250000,A01130243,KAM HWY
530050260000,A01130244,KAM HWY
530050450003,A10041005,53-416 J KAM HWY
530050450004,A05120208,53-416 K KAM HWY
530050500000,A10040919,53-416 C KAM HWY
530050510000,A10080087,53-416 B KAM HWY
530050580000,A10090048,53-412 A KAM HWY
530060040000,A10040449,53-472  KAM HWY
530060050000,A10070324,53-480  KAM HWY
530060130000,AV10130003,KAM HWY
530060140000,A05130117,53-532  KAM HWY
530060150000,A10040146,53-530  KAM HWY
530060310000,A05090236,53-490 W KAM HWY
530070070000,A05090300,53-372 K KAM HWY
530070070001,A05090300A,53-310 A PUNALUU VALLEY RD
530070070002,A05090300B,53-310 B PUNALUU VALLEY RD
530070070003,A05090300C,53-310 C PUNALUU VALLEY RD
530070130000,A20040021,53-368  PUNALUU VALLEY RD
530070180000,AV10100030,KAM HWY
530070230000,AV10100011,53-368 D KAM HWY
530090080000,A10080082,53-73  PUHULI ST
530090670001,A10040189,53-720  KAMEHAMEHA HWY
530090680001,A10040176,53-772  KAMEHAMEHA HWY
530090690001,A10040188,KAMEHAMEHA HWY
530090690002,A10040187,KAMEHAMEHA HWY
530090700001,A10040186,KAMEHAMEHA HWY
530090700002,A10040185,KAMEHAMEHA HWY
530090710001,A10040190,KAMEHAMEHA HWY
530090710002,A10040191,KAMEHAMEHA HWY
530090720001,A10040192,KAMEHAMEHA HWY
530090720002,A10040193,KAMEHAMEHA HWY
530090730001,A10040312A,KAMEHAMEHA HWY
530090730002,A10040312B,KAMEHAMEHA HWY
530090740001,A20040854,KAMEHAMEHA HWY
530090740002,A20040855,KAMEHAMEHA HWY
530090750001,A10060045A,53-64  PUHULI ST
530090750002,A10060045B,53-64  PUHULI ST
530090760001,A10040858A,KAMEHAMEHA HWY
530090760002,A10040858B,KAMEHAMEHA HWY
530090770001,A10040873A,KAMEHAMEHA HWY
530090770002,A10040873B,KAMEHAMEHA HWY
530090780001,A10040875A,KAMEHAMEHA HWY
530090780002,A10040875B,KAMEHAMEHA HWY
530090790001,A10040864A,KAMEHAMEHA HWY
530090790002,A10040864B,KAMEHAMEHA HWY
530090800001,A10040196,KAMEHAMEHA HWY
530090800002,A10040197,KAMEHAMEHA HWY
530090810001,A10040198,KAMEHAMEHA HWY
530090810002,A10040199,KAMEHAMEHA HWY
530090820001,A10040200,KAMEHAMEHA HWY
530090820002,A10040201,KAMEHAMEHA HWY
530090830001,A10060134A,KAMEHAMEHA HWY
530090830002,A10060134B,KAMEHAMEHA HWY
530090840001,A10110016,KAMEHAMEHA HWY
530090840002,A10110017,KAMEHAMEHA HWY
530090850001,A10110018,KAMEHAMEHA HWY
530090850002,A10110019,KAMEHAMEHA HWY
530090860001,A10110020,KAMEHAMEHA HWY
530090860002,A10110021,KAMEHAMEHA HWY
530090870001,A10070010,KAMEHAMEHA HWY
530090870002,A10110015,KAMEHAMEHA HWY
530090880001,A10040210,KAMEHAMEHA HWY
530090880002,A10040211,KAMEHAMEHA HWY
530090890001,A10040212,KAMEHAMEHA HWY
530090890002,A10040213,KAMEHAMEHA HWY
530090900001,A10040214,KAMEHAMEHA HWY
530090900002,A10040215,KAMEHAMEHA HWY
530090910001,A10040216,KAMEHAMEHA HWY
530090910002,A10040217,KAMEHAMEHA HWY
530090920001,A10040218,KAMEHAMEHA HWY
530090920002,A10040219,KAMEHAMEHA HWY
530090940001,A10040220,KAMEHAMEHA HWY
530090940002,A10040221,KAMEHAMEHA HWY
530090950001,A10040222,KAMEHAMEHA HWY
530090950002,A10040223,KAMEHAMEHA HWY
530090960001,A10040224,KAMEHAMEHA HWY
530090970001,A05090422,KAMEHAMEHA HWY
530090990001,A10050351A,53-45  PUHULI ST
530090990002,A10050351B,53-45  PUHULI ST
530091000001,A05110150,KAMEHAMEHA HWY
530091000002,A05110149,KAMEHAMEHA HWY
530091010001,A10080109,53-618  KAMEHAMEHA HWY
530091010001,AV0800007,53-618  KAMEHAMEHA HWY
530110010000,AV10100017,53-284  KAM HWY
530110060000,A20040022,KAM HWY
530150160000,A05120204,53-110  HALAI ST
530150250000,A296000558,53-7  HALAI PL
530150330000,A05110134,53-97  HALAI ST
530150390000,A10070064,53-37  HALAI ST
530150410000,A10070045,53-23  HALAI ST
540040200000,A20040853,KAWAIPUNA ST
550010430000,AV0600002,KAM HWY
550050010000,A10090341,55-220  KULANUI ST
550050010000,A10090361,55-220  KULANUI ST
550050010000,A10090368,55-220  KULANUI ST
550050010000,AV10090008,55-220  KULANUI ST
550050180000,AV10100024,55-756  WAHINEPEE ST
550050200000,A10090355,KAM HWY
550050200000,AV10090011,KAM HWY
550050210000,A10100110,KAM HWY
550050210000,A10100231,KAM HWY
550050210000,A10120202,KAM HWY
550050220000,A10090369,WAHINEPEE ST
550050220000,A10090370,WAHINEPEE ST
550050220000,AV10090014,WAHINEPEE ST
550050230000,A10090319,STABLE RD
550050230000,A10090321,STABLE RD
550050230000,A10090344,STABLE RD
550050230000,A10090366,STABLE RD
550050230000,A10090374,STABLE RD
550050230000,AV10090013,STABLE RD
550050240000,A10090388,KAM HWY
550050240000,AV10090009,KAM HWY
550050250000,A10090371,KAM HWY
550050250000,AV0600004,KAM HWY
550060010000,A10090320,55-110  KAM HWY
